日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,AsokaRev,多哥,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,AsokaRev,尼日尔,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,StarJM,叙利亚,MUUU607,0,0,0.00,0.00,4,0
2018-09-10,Takedown,叙利亚,MUUU607,1,0,0.00,0.00,1,0
2018-09-10,FruitTH,加蓬,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,"T Run",伊拉克,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,Temple28,安哥拉,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,Takedown,印度,MUUU607,0,1,0.08,0.01,13,0
2018-09-10,ZYAPAY,孟加拉国,MUU58001,0,0,0.00,0.00,9,0
2018-09-10,ball,多哥,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,Apple,尼泊尔,MUUU594,0,0,0.00,0.00,2,0
2018-09-10,AsokaRev,塞拉利昂,MUUU5751,0,0,0.00,0.00,1,0
2018-09-10,Temple28,秘鲁,MUUU1001,0,0,0.00,0.00,3,0
2018-09-10,Fruit,印度,MUUUU527,0,1,0.39,0.08,0,0
2018-09-10,"T Run",坦桑尼亚,MUUUU571,0,0,0.00,0.00,2,0
